Title,description
Best Accessibility Hack,There are many students who have little to no access to educational opportunities. This prize shall go to the team that best utilizes technology to help these students overcome the many roadblocks to a quality education.
Best Agricultural Innovation Award,
Best AI Artwork,"Whether intentionally generated by a computer, created accidentally as a byproduct of another project, or created by humans and AI working together, any type of artistic creation will qualify—the only requirement is that AI must have in some way been involved in the creation process. We are open to accepting a variety of media formats, including but not limited to: digital imagery, music, 2D/3D art, sculptures, animations, AR/VR, and interactive exhibits."
Best AI Co-Pilot and Companion Tools,"This challenge will focus on 2 use cases (Please select one):

1. AI Co-pilots supporting users with tasks and decision-making processes
2. AI companion for content creation or personal data consumption."
Best Android App,
Best App for Civic Technology,
Best Application of Conversational AI,
Best Automation Hack ,
Best Blockchain App ,"Integrate NFTs, crypto-currencies, real-world currencies like dollars or euros, or issue your own token! The possibilities are endless and you have the power to shape it to your use case. Sounds too difficult for your first try? Think again! It's easy to get started as you can use your coding language of choice through a suite of SDKs and helpful documentation. "
Best Budgeting Hack,"For our generation, the importance of managing personal finances is underscored by growing up during the 2008 financial crisis. Macroeconomics aside, many of us learned nothing about managing money from our parents. Awarded teams embody financial empowerment, by rethinking how to work budgeting and financial literacy tips into everyday behavior. "
Best Chatbot Hack,
Best Cloudflare App,Build an innovative project using Cloudflare APIs and Projects
Best Communication and Community Hack,How can you improve communication within your community? 
Best Consideration of Security and/or Privacy,
Best Cybersecurity Hack,"Our robust public-private partnership is excited to see innovations that enable the nation's adopters to enhance their cybersecurity posture with:
- Fast, good, and affordable solutions and services
- Robust knowledge-sharing, e.g., AI-enabled, web-based"
Best DeFi project,"This award celebrates the most exceptional hack that can boldly address any of the following array of verticals: from pioneering aggregators to revolutionary liquid staking providers, innovative real-world-assets, boundary-pushing DeFi option Vaults, and groundbreaking derivatives platforms. This accolade honors the remarkable solution that pushes the boundaries of what's possible in the DeFi landscape."
Best Developer Tool,
Best Device Privacy Hack,"As the number of people and smart devices, like, phone apps, cars, toys, connected to the Internet continues to grow, understanding how our data is being used, by whom, and the implications it has on our everyday lives will become essential. Develop a project that helps users better understand their digital footprint or control their personal data."
Best Digital Forensic Related Hack ,"Show us your best digital forensic related hack. Topics include but are not limited to: 
- Data carving\reconstruction\recovery tools
- finding specific objects (other than faces) in a large collection of digital images
- steganography detection or exploitation
- registry or memory artifact analysis
- encryption detection
- anything else that could aid investigators who are looking at devices of interest (e.g., computers or phones involved in a criminal investigation.)"
Best Domain Name from Domain.com,Register a .tech domain name using Domain.com during the weekend.
Best Driving Experience hack,"Get creative by designing the DRIVING EXPERIENCE of tomorrow -
For you By You! Its all about open Innovation so no restrictions on APIS or SDKS! Yes! All ideas are fair game in the new mobility world! "
Best Education Hack,
Best Entertainment Hack,
Best Ethical Tech app,This prize awards the team that can best articulate the ethical tensions and potential hazards latent in their project and create innovative solutions for addressing them. Teams will also be evaluated based on the ethical significance of their technological intervention.
Best Farming Simulation Game,
Best Figma Prototype,
Best Financial Hack,
Best Financial Literacy Hack,Investing is for everyone and developing financial literacy early on is essential in being set up for success and building a brighter future
Best First-Time Hack,All members of the team must be first-time hackathon attendees.
Best Future Energy Hack ,"We are looking for a web app that leverages one, or more, publicly available energy datasets to either deliver increased transparency into energy challenges facing the world (or a community), or to identify unique opportunities for the world to leverage emerging energy technologies. You may use any language or framework, but we would like to see an app that supports robust user interaction."
Best Game,
Best Gamification Hack,"Whether it's by gamifying an everyday task or embarking on a new adventure through a video game hack, we hope your imagination runs wild!"
Best Hack Against Harassment,Use your tech skills for good and hack online harassment! Build a software solution that can help reduce the frequency and/or severity of online harassment. 
Best Hack for Adulting ,"No one wants to live in their parent's basement forever. There are many factors that let you know when you are financially ready to move out and eventually own your own home. Build a tool to process homebuyer data that helps guide prospective first-time buyers through owning their first home.
"
Best Hack for College Students,"Our award will recognize the best project to specifically help college students in any way. To qualify, hackers must develop something that would be helpful to them or one of their peers."
Best Hack for eCommerce,
Best hack for senior citizens,We're challenging hackers to create a web-based application that will enhance the well-being and quality of life for elderly individuals. Participants are encouraged to leverage open-source technologies and consider the feasibility of implementing the product in real-world scenarios. 
Best Hack for Food Security,
Best hack for Healthcare Equity,
Best hack for Housing Access,
Best Hack for Recruiting Public Servants,"The U.S. Federal government is facing a looming catastrophe with nearly 6.5x more employees over the age of 50 as under 30. As the older population begins to retire, there is a need to find creative ways to inspire the next generation of public servants. We are looking for your perspective on what can get the next generation excited about joining the public service, and how to make it easier for them to find the job and mission they are passionate about. Come up with your own hack to help solve this problem or use the following prompts as inspiration:
* Build a digital assistant/concierge (web or mobile) that can help prospects through the recruitment process. Or maybe a way to find a mentor who works within the federal government to ask career advice.
* Build a website or app that allows prospects to create a profile highlighting what they are passionate about, like working outdoors or building the next Mars rover, and having that provide suggestions for which agency/job would match them best.
* Got design skills? Find an agency of your choice with a website that could use a refresh and build a new brand.
* Interested in blockchain? Develop a blockchain-based app that can act as a “badge” for federal employees to easily switch between jobs.
* Develop an algorithm or application that can help remove bias from the recruiting process."
Best Hack Related to Travel/Transportation,This prize is for the best hack that relates to traveling and/or transportation.
Best Hack that Benefits Immigrants or International Students ,
Best hack that uses open public health data,
Best hack that uses open public safety data,
Best Hack to Build a smart Tech Hub ecosystem,Showcase your ideas to create new experiences and services leveraging smart technologies - which are connected to the Internet and AI-driven - to improve various aspects of the employee and guest experience on.
Best Hack to Connect with Others through Food ,Best hack to connect with others through food for the improvement of the world� well-being & happiness with food! 
Best Hack to Drive Energy Efficiency in a Commercial Building,
Best Hack using a Large Language Model ,"ChatGPT set records last year - Large Language Models are now in everyday use. Applications can use APIs to interact with LLMs, or self-host the models in the application. LLMs are changing how users interact with applications - this prize is for the best hack using an LLM to create an awesome UX!"
Best Hardware Hack,"Using your preferred hardware or hardware emulator, build a hack for your chance."
Best Healthcare Hack,
Best Implementation of Checkbook API,This prize will be awarded to the team that has the most interesting use-case of the Checkbook.io platform.
Best Inclusivity Hack, Our prize goes to the team whose hack is the best example of powering an inclusive future.
Best mental health hack,"At the end of the hackathon, we look forward to your projects tackling the issue of mental health that our society faces, across all generations. Feel free to be creative and explore the area of mental health or go with our sub theme of cyber bullying."
Best Mobile Hack,
Best National Security Project,
Best Natural Disaster Response or Mitigation Solution,
Best Natural Language Processing Hack,
Best News for Social Good Hack,"Building news ranking and recommendation systems can be tough. There's a lot of opinion amid news articles out there. And maybe what seems important in one culture or language is not as important in another. So how should news algorithms work, especially amid the pitfalls of misinformation, disinformation and partisan bias? What is news, anyway?"
Best Open Source Hack,
Best Patient Safety Hack,
Best Productivity Booster,"We believe that people should be able to work and study from anywhere, at anytime and on any device. With this philosophy in mind, build an application that will boost your team's productivity and ability to collaborate."
Best Real-time Voice-based Emotion Classifier,Design a software component that will in real-time identify the emotions of a customer via voice recognition. The software should gauge the emotion of the customer: whether a  customer is satisfied or happy or agitated or angry or frustrated. The thresholds for each emotion should be configurable. The web service can be stubbed out and need not be implemented.
Best Social Justice Hack,
Best Sustainability Hack,
Best Use of AI in Education,"Artificial Intelligence (AI) models, such as large language models (LLMs), are transforming how we interact with computers. We want you to apply AI towards improving education to produce tools that support the quality, accessibility, and equitability of learning in today's classrooms. You can use AI to address any challenge teachers and students face, such as curriculum planning, question selection, teacher training, content generation, personalized feedback, automated grading and more."
